index;Valor;forecast_manual;forecast
2012-08-24;2.0;;
2012-08-25;4.0;;
2012-08-26;4.333333333333333;;
2012-08-27;4.666666666666667;;
2012-08-28;5.0;;
2012-08-29;2.0;;
2012-08-30;3.0;;
2012-08-31;3.0;;
2012-09-01;6.0;;
2012-09-02;4.0;;
2012-09-03;4.0;;
2012-09-04;7.0;;
2012-09-05;4.0;;
2012-09-06;4.0;;
2012-09-07;2.0;;
2012-09-08;4.0;;
2012-09-09;2.0;;
2012-09-10;2.0;;
2012-09-11;2.0;;
2012-09-12;3.0;;
2012-09-13;3.0;;
2012-09-14;3.0;;
2012-09-15;3.0;;
2012-09-16;2.0;;
2012-09-17;3.0;;
2012-09-18;7.0;;
2012-09-19;6.0;;
2012-09-20;3.0;;
2012-09-21;3.0;;
2012-09-22;3.0;;
2012-09-23;4.0;;
2012-09-24;6.0;;
2012-09-25;6.0;;
2012-09-26;4.0;;
2012-09-27;4.0;;
2012-09-28;3.0;;
2012-09-29;2.0;;
2012-09-30;14.0;;
2012-10-01;10.0;;
2012-10-02;6.0;;
2012-10-03;4.0;;
2012-10-04;6.0;;
2012-10-05;5.0;;
2012-10-06;4.0;;
2012-10-07;7.0;;
2012-10-08;17.0;;
2012-10-09;5.0;;
2012-10-10;14.0;;
2012-10-11;7.0;;
2012-10-12;7.0;;
2012-10-13;6.0;;
2012-10-14;13.0;;
2012-10-15;13.0;;
2012-10-16;14.0;;
2012-10-17;5.0;;
2012-10-18;12.0;;
2012-10-19;23.0;;
2012-10-20;17.0;;
2012-10-21;15.0;;
2012-10-22;15.0;;
2012-10-23;10.0;;
2012-10-24;9.0;;
2012-10-25;10.0;;
2012-10-26;9.0;;
2012-10-27;5.0;;
2012-10-28;10.0;;
2012-10-29;14.0;;
2012-10-30;14.0;;
2012-10-31;17.0;;
2012-11-01;12.0;;
2012-11-02;46.0;;
2012-11-03;24.0;;
2012-11-04;18.0;;
2012-11-05;28.0;;
2012-11-06;19.0;;
2012-11-07;13.0;;
2012-11-08;11.0;;
2012-11-09;14.0;;
2012-11-10;17.0;;
2012-11-11;31.0;;
2012-11-12;25.0;;
2012-11-13;15.0;;
2012-11-14;12.0;;
2012-11-15;14.0;;
2012-11-16;21.0;;
2012-11-17;11.0;;
2012-11-18;11.0;;
2012-11-19;13.0;;
2012-11-20;13.0;;
2012-11-21;15.0;;
2012-11-22;14.0;;
2012-11-23;10.0;;
2012-11-24;5.0;;
2012-11-25;7.0;;
2012-11-26;6.0;;
2012-11-27;14.0;;
2012-11-28;7.0;;
2012-11-29;6.0;;
2012-11-30;7.0;;
2012-12-01;8.0;;
2012-12-02;11.0;;
2012-12-03;16.0;;
2012-12-04;14.0;;
2012-12-05;10.0;;
2012-12-06;8.0;;
2012-12-07;20.0;;
2012-12-08;10.0;;
2012-12-09;8.0;;
2012-12-10;19.0;;
2012-12-11;24.0;;
2012-12-12;13.0;;
2012-12-13;16.0;;
2012-12-14;17.0;;
2012-12-15;9.0;;
2012-12-16;26.0;;
2012-12-17;21.0;;
2012-12-18;15.0;;
2012-12-19;14.0;;
2012-12-20;21.0;;
2012-12-21;20.0;;
2012-12-22;10.0;;
2012-12-23;17.0;;
2012-12-24;24.0;;
2012-12-25;15.0;;
2012-12-26;10.0;;
2012-12-27;12.0;;
2012-12-28;10.0;;
2012-12-29;12.0;;
2012-12-30;13.0;;
2012-12-31;25.0;;
2013-01-01;16.0;;
2013-01-02;12.0;;
2013-01-03;11.0;;
2013-01-04;23.0;;
2013-01-05;14.0;;
2013-01-06;7.0;;
2013-01-07;20.0;;
2013-01-08;15.0;;
2013-01-09;9.0;;
2013-01-10;9.0;;
2013-01-11;14.0;;
2013-01-12;9.0;;
2013-01-13;7.0;;
2013-01-14;10.0;;
2013-01-15;27.0;;
2013-01-16;26.0;;
2013-01-17;37.0;;
2013-01-18;30.0;;
2013-01-19;18.0;;
2013-01-20;17.0;;
2013-01-21;34.0;;
2013-01-22;29.0;;
2013-01-23;21.0;;
2013-01-24;21.0;;
2013-01-25;19.0;;
2013-01-26;13.0;;
2013-01-27;12.0;;
2013-01-28;18.0;;
2013-01-29;14.0;;
2013-01-30;21.0;;
2013-01-31;25.0;;
2013-02-01;19.0;;
2013-02-02;8.0;;
2013-02-03;8.0;;
2013-02-04;16.0;;
2013-02-05;17.0;;
2013-02-06;22.0;;
2013-02-07;15.0;;
2013-02-08;17.0;;
2013-02-09;18.0;;
2013-02-10;14.0;;
2013-02-11;23.0;;
2013-02-12;20.0;;
2013-02-13;17.0;;
2013-02-14;20.0;;
2013-02-15;28.0;;
2013-02-16;13.0;;
2013-02-17;10.0;;
2013-02-18;36.0;;
2013-02-19;27.0;;
2013-02-20;19.0;;
2013-02-21;17.0;;
2013-02-22;46.0;;
2013-02-23;40.0;;
2013-02-24;23.0;;
2013-02-25;35.0;;
2013-02-26;32.0;;
2013-02-27;27.0;;
2013-02-28;19.0;;
2013-03-01;31.0;;
2013-03-02;30.0;;
2013-03-03;15.0;;
2013-03-04;32.0;;
2013-03-05;31.0;;
2013-03-06;22.0;;
2013-03-07;24.0;;
2013-03-08;37.0;;
2013-03-09;16.0;;
2013-03-10;16.0;;
2013-03-11;21.0;;
2013-03-12;22.0;;
2013-03-13;21.0;;
2013-03-14;22.0;;
2013-03-15;22.0;;
2013-03-16;14.0;;
2013-03-17;15.0;;
2013-03-18;24.0;;
2013-03-19;15.0;;
2013-03-20;12.0;;
2013-03-21;30.0;;
2013-03-22;46.0;;
2013-03-23;19.0;;
2013-03-24;23.0;;
2013-03-25;31.0;;
2013-03-26;26.0;;
2013-03-27;15.0;;
2013-03-28;24.0;;
2013-03-29;29.0;;
2013-03-30;17.0;;
2013-03-31;15.0;;
2013-04-01;25.0;;
2013-04-02;40.0;;
2013-04-03;33.0;;
2013-04-04;35.0;;
2013-04-05;36.0;;
2013-04-06;19.0;;
2013-04-07;14.0;;
2013-04-08;37.0;;
2013-04-09;36.0;;
2013-04-10;27.0;;
2013-04-11;35.0;;
2013-04-12;35.0;;
2013-04-13;33.0;;
2013-04-14;24.0;;
2013-04-15;33.0;;
2013-04-16;45.0;;
2013-04-17;41.0;;
2013-04-18;40.0;;
2013-04-19;37.0;;
2013-04-20;26.0;;
2013-04-21;23.0;;
2013-04-22;53.0;;
2013-04-23;55.0;;
2013-04-24;45.0;;
2013-04-25;40.0;;
2013-04-26;37.0;;
2013-04-27;20.0;;
2013-04-28;19.0;;
2013-04-29;33.0;;
2013-04-30;45.0;;
2013-05-01;39.0;;
2013-05-02;81.0;;
2013-05-03;45.0;;
